Date,Close,High,Low,Open,Volume,SMA,SMA_prev,Signal,Strategy_Shares,Strategy_Cash,Strategy_Portfolio_Value,Buy_and_Hold_Portfolio_Value,Cumulative_Buy_and_Hold_Returns,Cumulative_Strategy_Returns,Strategy_Returns
2025-04-04,502.3977966308594,522.8703441644736,502.17905033414394,520.6828811973194,217965100,567.7826568603516,567.9563813781738,1,2925.129221701533,0.0,1469578.4758433907,1341420.5353371357,0.8942803568914238,0.9797189838955938,0.0
2025-04-07,501.5029296875,520.1857262659767,479.0517131179981,486.3995737800916,256611400,567.5976342773438,567.7826568603516,1,2925.129221701533,0.0,1466960.8743978355,1339031.207791779,0.892687471861186,0.9779739162652237,-0.0017811920142971616
2025-04-08,493.64801025390625,521.9854113898446,486.36975741253633,518.8832132196871,165816600,567.3806512451172,567.5976342773438,1,2925.129221701533,0.0,1443984.2200285192,1318058.2849360218,0.8787055232906812,0.9626561466856794,-0.015662758816759714
2025-04-09,545.4906005859375,545.4906005859375,490.23757127668296,490.62536123459006,241867300,567.4264810180664,567.3806512451172,0,0.0,1595630.4959374452,1595630.4959374452,1456479.9017162288,0.9709866011441526,1.0637536639582967,0.1050193442598224
2025-04-10,521.5877075195312,530.4568090591443,506.41474390850067,529.1343786533849,162331200,567.3615139770508,567.4264810180664,0,0.0,1595630.4959374452,1595630.4959374452,1392658.3009284288,0.9284388672856192,1.0637536639582967,0.0
2025-04-11,530.894287109375,533.3700738725757,517.1034096020134,520.0266416001656,97866300,567.3327865600586,567.3615139770508,0,0.0,1595630.4959374452,1595630.4959374452,1417507.209620476,0.9450048064136507,1.0637536639582967,0.0
2025-04-14,536.0447387695312,541.1753390049968,530.8147332303623,540.9466097072813,68034000,567.3264624023437,567.3327865600586,0,0.0,1595630.4959374452,1595630.4959374452,1431259.1043730543,0.9541727362487029,1.0637536639582967,0.0
2025-04-15,534.5433349609375,540.1312723398183,533.7479104814203,536.5915818220184,56892900,567.3083963012696,567.3264624023437,0,0.0,1595630.4959374452,1595630.4959374452,1427250.3011613619,0.9515002007742412,1.0637536639582967,0.0
2025-04-16,522.6614990234375,534.8217778198467,517.3221354783915,528.6471791077158,83484800,567.2415090942383,567.3083963012696,0,0.0,1595630.4959374452,1595630.4959374452,1395525.363609973,0.9303502424066488,1.0637536639582967,0.0
2025-04-17,523.4072265625,528.1400842911512,520.9214870568637,524.6302516664327,79868100,567.172834777832,567.2415090942383,0,0.0,1595630.4959374452,1595630.4959374452,1397516.483478279,0.9316776556521861,1.0637536639582967,0.0
